,Pc1.A,Pc1.R,Pc1.N,Pc1.D,Pc1.C,Pc1.Q,Pc1.E,Pc1.G,Pc1.H,Pc1.I,Pc1.L,Pc1.K,Pc1.M,Pc1.F,Pc1.P,Pc1.S,Pc1.T,Pc1.W,Pc1.Y,Pc1.V,Pc2.Hydrophobicity.1,Pc2.Hydrophilicity.1,Pc2.Hydrophobicity.2,Pc2.Hydrophilicity.2
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654640743246078,1.0654640743246078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654640743246078,0.0,-0.0018962628196010699,-0.05409773165072415,-0.019927590340896452,0.010457510486613893
1,0.0,0.0,0.0,0.0,0.0,0.0,1.3179604275751988,0.0,0.0,0.0,0.0,1.3179604275751988,0.0,2.6359208551503976,0.0,0.0,0.0,0.0,0.0,0.0,-0.028904162836076892,-0.05908291526366477,-0.09249332107544606,-0.13748002840001128
2,0.0,0.0,0.0,0.0,0.0,0.0,1.2130546173291248,0.0,0.0,0.0,0.0,1.2130546173291248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4261092346582496,-0.026673736964975867,-0.03795925395353234,-0.07726185879510251,-0.07115976761551397
3,0.0,0.0,1.8608146641022352,0.0,0.0,1.8608146641022352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03256103954731658,0.002275303728940564,0.032481020943684574,0.002275303728940564
4,0.0,0.0,0.0,0.0,0.0,0.0,0.9367207880301794,0.0,0.0,0.0,0.0,0.9367207880301794,0.0,0.0,0.0,0.9367207880301794,0.0,0.0,0.0,0.9367207880301794,-0.020005578926516263,-0.0036347966766149733,0.022580261421496904,0.06433932615145485
5,0.9659627125107404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9659627125107404,0.9659627125107404,0.0,0.0,0.0,0.0,1.9319254250214808,0.0,0.0,0.0,0.0,0.027466109120749392,0.008273890242231742,0.003696056659458871,-0.005398768533180428
6,0.9961401569257649,0.0,0.0,0.0,0.0,0.0,0.9961401569257649,0.9961401569257649,0.0,0.0,0.0,0.0,0.0,0.0,0.9961401569257649,0.0,0.9961401569257649,0.0,0.0,0.0,-0.0024416485517073185,0.0002878425029774615,0.0032310537225600606,0.0027825954004049814
7,0.0,0.0,1.1812561718891728,1.1812561718891728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1812561718891728,0.0,2.3625123437783455,0.0,0.0,0.0,0.0,0.0,0.0,-0.040650503445673794,-0.059991620750827604,-0.041698565542008584,-0.03891548215066279
8,0.0,0.0,0.0,0.9350075196093108,0.0,0.0,0.0,0.0,0.0,0.0,0.9350075196093108,0.0,0.0,1.8700150392186217,0.0,0.0,0.0,0.0,0.9350075196093108,0.0,0.031979429339713136,0.017606030085038905,0.010186350443209372,0.0052206705227278655
9,0.9172338606708749,0.0,0.0,0.0,0.0,0.0,0.0,0.9172338606708749,0.0,0.9172338606708749,0.9172338606708749,0.0,0.0,0.9172338606708749,0.0,0.0,0.0,0.0,0.0,0.0,0.03848331035008232,0.007851622393954422,0.033122307025710916,0.003308899559377519
